Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges
1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85
1,0,0,1,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7
0,0,1,0,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2
1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15
1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35
1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2
0,0,0,0,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7
1,0,0,1,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7
1,0,0,1,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35
0,0,0,1,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85
0,0,0,1,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65
0,0,0,1,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1
0,1,1,1,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65
1,1,0,1,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45
0,0,0,1,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4
0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35
0,0,1,1,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15
0,0,0,1,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95
1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05
0,1,1,1,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5
1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0
1,0,1,1,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75
0,1,1,1,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5
0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25
1,0,0,1,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4
0,1,0,1,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05
0,0,1,0,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35
0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45
0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65
1,0,0,1,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0
0,0,1,1,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4
0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9
1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3
0,0,1,1,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4
0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85
0,1,0,1,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45
0,1,0,1,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45
0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95
1,0,0,1,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5
0,0,0,1,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8
1,0,1,1,6,1,0,1,0,2,2,0,0,2,0,1,2,91.0
1,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,2,79.9
0,0,0,1,19,1,0,1,2,0,2,2,2,2,0,1,2,106.6
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,46.0
0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,1,2,70.15
1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,50.05
0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2
1,0,0,1,1,1,0,1,2,0,0,0,0,2,0,1,3,84.6
1,0,0,0,2,1,2,0,0,2,0,0,0,0,0,1,3,54.4
0,1,0,1,11,1,0,1,0,2,0,0,2,2,0,1,2,95.0
1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,74.4
1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,48.55
0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,2,70.4
1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,40.2
